league,team,point
GB1,Aston Villa,591
GB1,FC Southampton,476
GB1,Stoke City,457
GB1,Leicester City,445
GB1,Crystal Palace,404
GB1,FC Fulham,404
GB1,West Bromwich Albion,400
FR1,AS Monaco,856
FR1,OGC Nizza,844
FR1,AS Saint Étienne,831
FR1,Montpellier HSC,683
FR1,FC Tolosa,631
FR1,FC Lorient,597
FR1,FC Nantes,493
NL1,Vitesse Arnhem,323
NL1,FC Utrecht,303
NL1,FC Groningen,285
NL1,Heracles Almelo,218
NL1,ADO Den Haag,205
NL1,NEC Nijmegen,181
NL1,NAC Breda,169
L1,Eintracht Francoforte,657
L1,TSG 1899 Hoffenheim,646
L1,VfB Stoccarda,637
L1,FSV Magonza 05,601
L1,Hertha BSC,576
L1,Amburgo SV,513
ES1,Real Sociedad,689
ES1,RCD Espanyol Barcellona,686
ES1,Real Betis Balompié,618
ES1,Levante UD,546
ES1,CA Osasuna,519
ES1,Celta de Vigo,507
ES1,Málaga CF,462
PO1,Rio Ave FC,528
PO1,CD Nacional,495
PO1,Vitória Setúbal FC,448
PO1,Boavista Porto FC,383
PO1,Moreirense FC,338
PO1,CF Os Belenenses,326
PO1,Académica Coimbra,308
IT1,UC Sampdoria,726
IT1,Genoa CFC,672
IT1,Cagliari Calcio,626
IT1,Torino FC,607
IT1,Bologna FC,545
IT1,AC Chievo Verona,490
IT1,Palermo FC,472
IT1,Parma Calcio 1913,466
